battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1526,0,2.1,0,1.0,1.0,23.0,0.2,117.0,7.0,8.0,718.0,751.0,2227.0,18.0,10.0,3,1,1,0,2
1989,0,2.5,1,0.0,1.0,41.0,0.8,94.0,3.0,13.0,1100.0,1497.0,1665.0,17.0,9.0,12,1,1,1,2
1308,0,1.9,0,0.0,1.0,61.0,0.7,106.0,3.0,7.0,59.0,1215.0,3355.0,15.0,2.0,4,1,0,1,3
609,0,0.5,0,3.0,0.0,26.0,0.3,93.0,4.0,4.0,938.0,1948.0,1866.0,11.0,10.0,14,1,1,1,1
1905,0,0.6,1,9.0,1.0,36.0,0.4,119.0,3.0,20.0,825.0,1542.0,1287.0,13.0,4.0,16,1,0,0,1
1703,1,0.5,0,0.0,1.0,22.0,0.6,192.0,1.0,0.0,286.0,1235.0,1046.0,5.0,4.0,13,1,0,1,0
1445,1,2.4,1,7.0,1.0,20.0,0.4,173.0,7.0,15.0,1273.0,1345.0,1441.0,7.0,4.0,13,1,1,1,1
1087,0,1.3,0,0.0,1.0,16.0,0.3,166.0,3.0,9.0,295.0,589.0,690.0,14.0,6.0,6,1,0,1,0
671,0,0.9,1,10.0,0.0,30.0,0.7,105.0,7.0,17.0,852.0,1182.0,2504.0,6.0,4.0,15,1,0,0,2
1472,1,2.3,0,6.0,0.0,61.0,0.1,168.0,6.0,19.0,710.0,1052.0,2677.0,19.0,15.0,8,1,0,0,2
765,0,0.5,1,0.0,1.0,47.0,0.3,115.0,8.0,1.0,1277.0,1429.0,2243.0,11.0,7.0,4,1,0,1,2
1642,0,0.5,1,16.0,1.0,8.0,0.3,171.0,6.0,17.0,129.0,873.0,2984.0,13.0,4.0,17,1,0,1,2
1265,0,1.5,0,7.0,0.0,49.0,0.7,182.0,5.0,16.0,690.0,836.0,1362.0,5.0,0.0,12,0,0,1,1
664,1,1.1,1,1.0,1.0,51.0,0.1,110.0,7.0,4.0,701.0,1478.0,3629.0,19.0,15.0,6,1,1,1,3
1277,1,0.5,1,0.0,1.0,35.0,0.4,142.0,6.0,6.0,309.0,1460.0,3559.0,18.0,17.0,6,1,1,0,3
1395,0,1.8,1,0.0,0.0,23.0,0.1,111.0,3.0,1.0,213.0,705.0,2571.0,11.0,0.0,13,1,0,1,2
1539,1,2.6,0,0.0,0.0,41.0,0.1,159.0,8.0,0.0,1112.0,1666.0,2107.0,15.0,9.0,10,1,0,1,2
1049,1,2.2,0,9.0,0.0,63.0,0.5,135.0,5.0,17.0,199.0,1077.0,1022.0,11.0,3.0,13,0,0,0,0
1827,0,1.7,0,4.0,1.0,39.0,0.5,128.0,5.0,16.0,55.0,1020.0,2844.0,14.0,9.0,10,1,1,0,2
903,0,1.0,1,0.0,1.0,50.0,0.4,91.0,1.0,0.0,1230.0,1235.0,711.0,9.0,5.0,10,1,1,0,0
1987,1,0.5,0,3.0,1.0,53.0,1.0,181.0,3.0,7.0,1052.0,1516.0,3117.0,18.0,5.0,8,1,1,1,3
1154,0,1.2,1,0.0,1.0,49.0,0.2,181.0,8.0,2.0,541.0,1499.0,978.0,5.0,3.0,7,1,0,1,0
1336,0,0.9,0,5.0,1.0,17.0,0.5022556390977444,194.0,5.0,9.0,55.0,583.0,1869.0,13.0,1.0,16,1,1,1,1
1886,0,0.5,0,0.0,1.0,24.0,0.4,112.0,3.0,1.0,809.0,1958.0,1179.0,16.0,7.0,20,1,0,1,1
1551,0,1.1,0,4.0,0.0,51.0,0.1,88.0,5.0,6.0,1738.0,1995.0,3844.0,11.0,8.0,4,0,1,0,3
850,1,1.6,1,6.0,1.0,29.0,0.5,133.0,5.0,19.0,404.0,642.0,593.0,19.0,17.0,10,1,0,1,0
660,0,0.5,0,5.0,1.0,40.0,0.5,111.0,2.0,10.0,262.0,1178.0,588.0,6.0,5.0,18,1,1,1,0
1225,1,2.1,1,8.0,0.0,13.0,0.5,116.0,4.0,12.0,759.0,1404.0,3836.0,12.0,11.0,11,0,0,0,3
1452,1,0.5,1,1.0,1.0,25.0,0.9,123.0,6.0,11.0,42.0,1040.0,2669.0,12.0,10.0,13,1,0,0,2
1686,1,2.8,1,3.0,0.0,38.0,0.1,166.0,4.0,4.0,397.0,1453.0,2958.0,14.0,11.0,2,0,0,0,3
1634,1,1.4,0,1.0,1.0,17.0,0.2,200.0,2.0,5.0,964.0,1677.0,3031.0,11.0,6.0,6,1,1,1,3
1708,1,2.4,1,18.0,1.0,49.0,0.1,109.0,1.0,19.0,233.0,517.0,3388.0,6.0,4.0,16,1,1,1,3
1151,1,2.9,1,0.0,0.0,31.0,0.6,128.0,8.0,1.0,1022.0,1560.0,2377.0,18.0,8.0,13,0,1,0,2
1578,0,1.9,1,2.0,1.0,37.0,0.1,138.0,4.0,19.0,411.0,1226.0,2458.0,19.0,16.0,3,1,0,1,2
1689,0,1.8,0,17.0,0.0,24.0,0.3,127.0,3.0,18.0,954.0,1200.0,2766.0,7.0,2.0,7,0,1,1,3
1488,0,0.5,0,1.0,0.0,39.0,0.8,112.0,5.0,6.0,1528.0,1647.0,3054.0,14.0,10.0,19,0,0,0,3
1313,1,1.8,1,4.0,0.0,9.0,0.4,105.0,1.0,6.0,416.0,1308.0,3791.0,11.0,10.0,6,0,1,1,3
1715,0,1.0,1,4.0,1.0,31.0,0.5,83.0,8.0,17.0,638.0,1615.0,625.0,17.0,6.0,13,1,0,0,0
1442,0,1.0,1,0.0,0.0,27.0,0.1,192.0,3.0,19.0,231.0,687.0,2227.0,6.0,5.0,20,1,1,0,1
528,0,1.7,0,12.0,1.0,6.0,0.8,142.0,2.0,15.0,574.0,637.0,3256.0,9.0,8.0,6,1,1,0,2
1523,1,1.8,0,6.0,1.0,11.0,0.1,129.0,1.0,8.0,148.0,1606.0,707.0,19.0,8.0,19,1,1,0,0
1133,0,1.4,0,3.0,0.0,42.0,0.1,199.0,5.0,12.0,730.0,1543.0,1457.0,18.0,12.0,20,1,0,1,1
1718,1,2.5,1,14.0,1.0,6.0,0.1,183.0,5.0,16.0,564.0,980.0,3755.0,7.0,1.0,8,1,1,1,3
1330,0,0.5,0,0.0,0.0,38.0,1.0,183.0,7.0,1.0,1290.0,1441.0,1733.0,9.0,0.0,11,1,0,1,1
1799,1,0.5,0,0.0,0.0,49.0,0.4,107.0,4.0,2.0,632.0,1383.0,720.0,12.0,2.0,11,1,1,1,0
633,1,2.2,0,0.0,1.0,49.0,0.1,139.0,8.0,1.0,529.0,1009.0,3560.0,11.0,1.0,16,1,1,1,2
724,0,2.7,1,0.0,0.0,44.0,0.5,187.0,7.0,0.0,1273.0,1754.0,2311.0,7.0,6.0,7,1,0,0,2
822,1,0.5,0,0.0,1.0,51.0,0.3,157.0,6.0,20.0,667.0,860.0,3846.0,10.0,1.0,3,1,0,0,3
1918,0,1.9,0,2.0,0.0,10.0,0.6,110.0,5.0,10.0,1170.0,1543.0,1717.0,7.0,1.0,16,1,1,1,2
1891,0,2.8,0,7.0,1.0,37.0,0.4,129.0,7.0,14.0,169.0,1108.0,3704.0,8.0,6.0,11,1,0,0,3
1373,1,1.0,1,2.0,0.0,50.0,0.2,127.0,7.0,12.0,105.0,673.0,3800.0,8.0,3.0,14,1,0,0,3
862,1,0.8,1,3.0,0.0,23.0,0.4,165.0,2.0,15.0,793.0,1758.0,278.0,16.0,3.0,11,0,0,1,0
1273,0,1.0,0,3.0,1.0,48.0,0.4,99.0,4.0,15.0,490.0,886.0,1767.0,18.0,15.0,11,1,1,0,1
957,1,2.5,0,4.0,0.0,7.0,0.8,107.0,5.0,10.0,1201.0,1485.0,1846.0,12.0,5.0,7,1,0,1,1
1617,1,1.3,1,3.0,1.0,30.0,0.7,105.0,2.0,4.0,246.0,1038.0,829.0,9.0,0.0,10,1,0,0,0
893,0,2.5,1,0.0,0.0,55.0,0.6,183.0,2.0,1.0,417.0,946.0,2986.0,7.0,1.0,6,0,1,1,2
1210,0,0.5,0,0.0,0.0,63.0,0.1,93.0,5.0,0.0,1177.0,1462.0,2394.0,17.0,9.0,7,0,0,0,2
708,1,2.7,1,0.0,1.0,63.0,1.0,195.0,8.0,7.0,78.0,654.0,2169.0,6.0,5.0,7,1,1,1,1
835,0,1.1,1,2.0,0.0,7.0,0.2,101.0,4.0,7.0,323.0,1604.0,1181.0,13.0,5.0,15,1,1,1,0
1450,1,2.7,1,9.0,0.0,19.0,0.6,131.0,1.0,17.0,707.0,1882.0,575.0,15.0,9.0,12,0,0,0,0
973,1,1.5,0,5.0,1.0,57.0,0.2,190.0,7.0,16.0,457.0,1816.0,2977.0,6.0,4.0,2,1,0,0,2
601,1,1.4,0,4.0,1.0,4.0,0.1,154.0,4.0,13.0,356.0,765.0,532.0,12.0,8.0,10,1,1,1,0
507,1,0.5,1,1.0,0.0,32.0,0.5,141.0,7.0,11.0,936.0,1398.0,1702.0,17.0,0.0,5,1,1,1,1
564,0,1.8,1,0.0,1.0,51.0,0.5,168.0,3.0,1.0,912.0,1980.0,1074.0,14.0,8.0,15,1,1,0,0
1559,1,1.6,1,6.0,1.0,6.0,0.5,162.0,6.0,17.0,179.0,1559.0,3352.0,9.0,1.0,3,1,1,1,3
754,0,0.5,1,7.0,1.0,59.0,0.7,178.0,7.0,10.0,1914.0,1928.0,1027.0,6.0,3.0,5,1,0,0,1
728,0,2.7,1,4.310275689223058,1.0,32.04812030075188,0.5022556390977444,140.26653306613227,4.0,10.0,644.6518036072144,1251.2877877877877,2124.262262262262,5.0,1.0,12,1,1,1,1
1431,1,0.5,0,0.0,1.0,56.0,0.6,191.0,1.0,1.0,156.0,952.0,461.0,7.0,3.0,8,1,0,0,0
767,0,1.5,0,4.0,0.0,28.0,0.7,175.0,4.0,10.0,344.0,1517.0,527.0,10.0,0.0,15,0,1,0,0
1722,0,2.6,0,8.0,0.0,18.0,0.8,177.0,2.0,16.0,865.0,1741.0,3271.0,14.0,0.0,15,1,0,1,3
1992,1,1.6,0,5.0,1.0,57.0,1.0,100.0,2.0,15.0,1552.0,1596.0,606.0,9.0,3.0,4,1,1,1,1
1876,0,0.5,0,10.0,1.0,40.0,0.3,86.0,6.0,14.0,546.0,1564.0,2513.0,10.0,8.0,16,1,1,0,3
1054,0,1.1,1,10.0,1.0,38.0,0.4,136.0,6.0,12.0,1097.0,1222.0,1675.0,18.0,4.0,14,1,1,1,1
1283,1,1.6,1,4.0,0.0,47.0,0.9,93.0,5.0,5.0,372.0,692.0,2698.0,9.0,6.0,17,1,1,0,2
1281,1,2.3,1,0.0,0.0,28.0,0.3,148.0,1.0,6.0,1285.0,1617.0,1129.0,12.0,1.0,6,0,1,0,1
1066,0,0.6,0,2.0,1.0,7.0,0.9,114.0,7.0,18.0,1242.0,1571.0,468.0,19.0,13.0,6,1,1,0,0
730,0,2.1,1,0.0,1.0,4.0,0.1,89.0,8.0,2.0,302.0,1247.0,1210.0,19.0,15.0,4,1,1,1,0
1053,1,0.8,1,7.0,1.0,45.0,0.3,103.0,1.0,12.0,594.0,1767.0,3086.0,17.0,6.0,5,1,1,1,3
1611,1,0.5,1,11.0,0.0,3.0,0.6,98.0,3.0,14.0,303.0,714.0,1595.0,8.0,4.0,9,1,0,1,1
793,0,1.0,1,5.0,1.0,30.0,0.9,133.0,2.0,15.0,1858.0,1935.0,2332.0,17.0,13.0,14,1,1,1,2
1220,0,2.9,0,3.0,0.0,62.0,0.5,125.0,4.0,8.0,403.0,1933.0,2589.0,19.0,11.0,15,1,1,1,2
1662,0,0.5,0,4.310275689223058,1.0,32.04812030075188,0.8,126.0,4.0,13.0,32.0,1509.0,3760.0,9.0,5.0,13,1,1,1,3
1281,1,2.8,1,3.0,1.0,8.0,0.3,144.0,4.0,19.0,590.0,954.0,1851.0,8.0,2.0,9,1,1,0,1
538,0,0.8,0,12.0,1.0,2.0,0.8,177.0,7.0,13.0,235.0,662.0,417.0,8.0,4.0,9,1,0,1,0
823,1,0.5,0,0.0,0.0,39.0,0.4,187.0,8.0,4.0,630.0,888.0,294.0,13.0,9.0,11,0,0,1,0
1733,1,2.8,0,3.0,1.0,36.0,1.0,119.0,6.0,20.0,357.0,527.0,3576.0,17.0,16.0,9,1,0,0,3
1429,0,1.5,1,0.0,1.0,40.0,0.9,100.0,3.0,14.0,246.0,820.0,3945.0,11.0,7.0,18,1,0,1,3
1839,1,1.2,0,9.0,1.0,54.0,0.5,200.0,7.0,11.0,475.0,1493.0,927.0,19.0,10.0,18,1,0,1,1
659,0,2.7,0,6.0,1.0,6.0,0.5,110.0,3.0,7.0,1054.0,1929.0,2044.0,15.0,5.0,2,1,0,1,1
1953,1,2.1,1,7.0,0.0,56.0,0.1,158.0,8.0,9.0,555.0,764.0,2334.0,11.0,5.0,4,1,0,0,2
1172,0,1.9,0,0.0,1.0,27.0,0.7,164.0,1.0,3.0,607.0,1092.0,1477.0,12.0,0.0,6,1,0,0,1
612,1,1.9,1,6.0,0.0,16.0,0.3,102.0,7.0,7.0,1360.0,1891.0,3161.0,8.0,4.0,3,0,0,0,3
1563,0,2.4,0,0.0,1.0,24.0,0.2,170.0,8.0,0.0,142.0,1699.0,3660.0,7.0,5.0,5,1,1,0,3
1191,0,1.3,1,16.0,1.0,26.0,0.8,84.0,1.0,20.0,681.0,683.0,1604.0,14.0,3.0,9,1,0,1,1
615,1,0.5,1,0.0,0.0,42.0,0.6,163.0,6.0,4.0,104.0,1664.0,2211.0,7.0,4.0,18,0,0,1,1
1893,1,2.1,1,8.0,0.0,63.0,0.2,134.0,2.0,11.0,637.0,763.0,3822.0,14.0,3.0,18,0,1,1,3
1563,0,1.7,1,10.0,0.0,16.0,0.1,151.0,7.0,13.0,410.0,572.0,3922.0,11.0,1.0,8,0,0,1,3
1995,1,1.9,0,6.0,0.0,9.0,0.8,139.0,6.0,10.0,644.6518036072144,1963.0,1203.0,14.0,12.0,18,1,1,1,2
1517,0,0.5,0,6.0,1.0,48.0,0.6,143.0,5.0,10.0,644.6518036072144,1489.0,2822.0,15.0,5.0,11,1,1,1,3
832,0,1.6,1,1.0,1.0,34.0,0.3,108.0,5.0,5.0,311.0,1294.0,447.0,15.0,13.0,12,1,1,0,0
1162,0,2.0,0,0.0,1.0,56.0,0.7,114.0,7.0,1.0,56.0,997.0,1652.0,5.0,0.0,20,1,0,0,1
1595,1,2.6,0,7.0,0.0,12.0,0.3,121.0,8.0,19.0,344.0,655.0,3608.0,15.0,1.0,16,0,1,0,3
1329,1,1.0,0,1.0,0.0,52.0,0.9,181.0,6.0,2.0,1053.0,1458.0,1228.0,8.0,6.0,6,1,0,1,1
928,1,0.5,1,11.0,0.0,56.0,0.7,80.0,8.0,13.0,221.0,1243.0,666.0,19.0,10.0,5,0,1,0,0
1656,1,0.5,1,8.0,1.0,38.0,0.1,105.0,7.0,17.0,506.0,519.0,1499.0,12.0,8.0,19,1,0,1,1
1937,1,1.7,0,17.0,0.0,58.0,0.6,189.0,1.0,19.0,1728.0,1767.0,3321.0,5.0,4.0,14,1,1,0,3
977,1,1.1,1,2.0,0.0,57.0,0.6,181.0,6.0,7.0,63.0,566.0,1206.0,7.0,1.0,8,0,1,1,0
768,1,0.9,0,16.0,1.0,56.0,0.1,113.0,1.0,20.0,418.0,515.0,952.0,19.0,3.0,16,1,0,1,0
1464,1,0.5,1,11.0,0.0,12.0,0.9,117.0,2.0,14.0,854.0,1168.0,3927.0,5.0,3.0,15,0,1,1,3
1177,0,0.9,0,1.0,1.0,29.0,0.4,191.0,2.0,8.0,178.0,882.0,311.0,18.0,5.0,19,1,0,0,0
1348,0,2.0,0,18.0,0.0,52.0,0.3,98.0,3.0,20.0,1869.0,1942.0,955.0,18.0,11.0,7,1,1,1,1
1956,0,2.2,0,0.0,1.0,37.0,0.5,87.0,3.0,2.0,185.0,776.0,1109.0,13.0,1.0,19,1,1,0,1
1751,0,0.5,1,6.0,0.0,8.0,0.6,178.0,6.0,20.0,170.0,564.0,2969.0,8.0,6.0,17,0,0,1,2
1530,0,2.0,0,11.0,0.0,42.0,0.8,177.0,6.0,13.0,454.0,1975.0,725.0,11.0,10.0,19,0,0,1,0
1997,1,1.8,1,1.0,0.0,40.0,0.5,185.0,4.0,8.0,866.0,1212.0,1655.0,7.0,6.0,15,1,0,0,2
1414,1,1.5,1,5.0,0.0,44.0,0.5,180.0,2.0,6.0,44.0,1118.0,3490.0,16.0,12.0,13,0,1,0,3
1707,0,1.4,0,0.0,0.0,41.0,0.8,80.0,7.0,2.0,1331.0,1388.0,1774.0,12.0,0.0,10,0,0,0,2
894,0,0.5,1,1.0,1.0,50.0,0.5,199.0,3.0,14.0,1285.0,1462.0,3615.0,13.0,0.0,6,1,0,1,3
645,0,1.2,0,6.0,1.0,41.0,0.7,184.0,8.0,17.0,741.0,1130.0,714.0,18.0,2.0,13,1,1,0,0
1163,0,2.8,1,0.0,0.0,49.0,0.6,155.0,2.0,0.0,520.0,754.0,2768.0,19.0,2.0,12,0,0,1,2
1126,0,0.7,0,3.0,0.0,49.0,0.9,165.0,8.0,17.0,114.0,1726.0,3739.0,14.0,1.0,13,1,0,0,3
1648,0,0.7,0,6.0,1.0,64.0,0.8,170.0,4.0,9.0,1153.0,1876.0,610.0,8.0,1.0,6,1,1,0,1
1170,1,0.9,0,6.0,1.0,14.0,0.4,199.0,2.0,13.0,474.0,709.0,715.0,18.0,5.0,20,1,0,1,0
508,0,0.8,0,7.0,1.0,42.0,0.3,94.0,1.0,8.0,39.0,557.0,663.0,13.0,12.0,7,1,0,0,0
1097,0,2.1,1,6.0,0.0,64.0,0.2,161.0,3.0,8.0,419.0,1914.0,1725.0,14.0,5.0,9,1,0,1,1
728,0,1.7,1,0.0,1.0,5.0,0.6,101.0,2.0,20.0,584.0,775.0,834.0,16.0,0.0,5,1,1,0,0
1980,0,0.5,1,2.0,1.0,29.0,0.8,177.0,1.0,13.0,312.0,1910.0,3865.0,12.0,10.0,18,1,0,0,3
1504,0,2.3,1,1.0,0.0,64.0,0.9,182.0,1.0,2.0,19.0,1923.0,3059.0,6.0,5.0,10,0,1,0,3
1379,1,2.1,1,14.0,1.0,63.0,1.0,83.0,1.0,17.0,207.0,1370.0,651.0,9.0,6.0,7,1,1,0,0
1698,0,2.1,0,5.0,1.0,18.0,0.9,160.0,6.0,20.0,363.0,994.0,796.0,13.0,3.0,14,1,0,1,0
920,0,2.1,1,5.0,0.0,25.0,0.4,115.0,7.0,14.0,209.0,1078.0,785.0,10.0,7.0,5,0,1,1,0
1144,1,1.5,1,0.0,0.0,21.0,0.4,189.0,1.0,11.0,159.0,724.0,3252.0,16.0,0.0,8,0,0,0,2
1995,1,0.5,0,6.0,0.0,26.0,0.2,129.0,1.0,15.0,649.0,1104.0,1322.0,15.0,11.0,7,0,1,1,1
1430,0,0.5,1,1.0,0.0,27.0,0.5,183.0,1.0,16.0,1132.0,1182.0,2832.0,7.0,1.0,15,0,1,1,2
972,1,0.5,1,5.0,0.0,13.0,0.4,193.0,5.0,8.0,1392.0,1795.0,1615.0,11.0,6.0,13,0,1,0,1
662,0,0.5,0,5.0,0.0,20.0,0.8,138.0,1.0,10.0,1001.0,1224.0,2125.0,17.0,15.0,15,0,1,1,1
1867,0,2.3,0,0.0,1.0,9.0,0.1,191.0,6.0,3.0,712.0,1442.0,990.0,6.0,1.0,2,1,0,1,1
1730,0,2.0,1,0.0,1.0,20.0,0.1,143.0,4.0,10.0,418.0,1023.0,1595.0,14.0,0.0,12,1,1,0,1
1723,1,1.0,0,1.0,1.0,7.0,0.6,126.0,3.0,17.0,384.0,1361.0,1213.0,5.0,0.0,16,1,1,1,1
1882,1,1.3,1,8.0,0.0,47.0,0.2,140.0,2.0,13.0,119.0,652.0,2500.0,17.0,1.0,11,0,0,1,2
803,0,0.8,1,0.0,0.0,18.0,0.3,106.0,4.0,1.0,627.0,935.0,2801.0,18.0,15.0,12,0,1,0,2
580,1,1.2,1,0.0,0.0,47.0,0.9,91.0,3.0,1.0,1086.0,1345.0,3451.0,15.0,1.0,11,1,1,0,3
668,0,2.3,0,2.0,1.0,48.0,0.3,114.0,1.0,19.0,195.0,1292.0,1201.0,14.0,12.0,4,1,1,0,0
1391,0,1.4,0,2.0,1.0,36.0,0.8,182.0,1.0,6.0,14.0,1256.0,3139.0,14.0,7.0,14,1,1,0,2
1560,0,2.3,0,0.0,1.0,22.0,0.8,169.0,7.0,1.0,745.0,1364.0,1938.0,15.0,11.0,16,1,1,1,2
821,0,1.8,1,5.0,0.0,54.0,0.1,109.0,3.0,9.0,253.0,1786.0,3185.0,8.0,4.0,15,1,0,0,2
1989,1,2.9,1,8.0,0.0,17.0,0.1,193.0,8.0,15.0,629.0,682.0,2369.0,7.0,0.0,18,1,1,0,2
1034,1,2.7,1,6.0,0.0,37.0,0.7,120.0,7.0,20.0,707.0,1199.0,3625.0,17.0,1.0,12,0,1,1,3
618,0,2.1,0,2.0,0.0,6.0,0.3,86.0,1.0,4.0,1314.0,1688.0,1051.0,13.0,10.0,15,0,0,1,0
654,1,1.3,0,0.0,1.0,52.0,0.7,196.0,4.0,4.0,1715.0,1898.0,1036.0,17.0,4.0,13,1,0,0,1
576,1,2.8,0,2.0,1.0,10.0,0.2,184.0,5.0,7.0,513.0,1438.0,2938.0,6.0,0.0,5,1,1,1,2
667,1,0.6,0,6.0,1.0,3.0,0.7,185.0,6.0,13.0,13.0,1463.0,2855.0,5.0,0.0,19,1,0,1,2
869,1,1.0,0,7.0,1.0,57.0,0.6,118.0,1.0,15.0,1243.0,1584.0,2727.0,13.0,3.0,8,1,0,0,2
635,1,0.5,1,2.0,0.0,42.0,0.4,149.0,3.0,4.0,300.0,1059.0,2973.0,12.0,5.0,18,0,0,1,2
609,1,3.0,0,15.0,1.0,44.0,0.3,117.0,1.0,16.0,58.0,1253.0,2581.0,15.0,11.0,15,1,0,1,1
1557,0,2.8,1,16.0,0.0,2.0,0.1,123.0,5.0,20.0,1107.0,1442.0,2690.0,18.0,16.0,9,0,0,1,3
1604,1,1.7,0,2.0,0.0,33.0,1.0,191.0,8.0,5.0,134.0,939.0,916.0,13.0,10.0,12,0,1,1,0
1182,0,0.5,0,7.0,1.0,8.0,0.5,138.0,8.0,16.0,275.0,986.0,2563.0,19.0,17.0,19,1,0,0,2
848,1,2.1,1,10.0,1.0,19.0,0.8,148.0,7.0,18.0,176.0,1029.0,3359.0,10.0,0.0,14,1,0,0,2
1610,1,2.9,0,7.0,1.0,64.0,0.9,181.0,4.0,12.0,1236.0,1280.0,941.0,8.0,4.0,9,1,1,0,1
1828,1,2.1,1,0.0,0.0,17.0,0.9,199.0,1.0,1.0,336.0,898.0,2280.0,17.0,14.0,4,0,0,0,2
880,0,2.0,1,1.0,1.0,50.0,0.5,194.0,7.0,3.0,1116.0,1381.0,827.0,15.0,9.0,6,1,0,1,0
1394,1,0.9,1,10.0,1.0,62.0,0.3,175.0,5.0,13.0,1010.0,1565.0,473.0,11.0,1.0,20,1,1,0,0
1960,1,2.3,1,1.0,1.0,61.0,0.3,86.0,7.0,3.0,205.0,1299.0,3865.0,10.0,7.0,11,1,0,0,3
809,0,0.8,0,10.0,0.0,21.0,0.9,91.0,7.0,19.0,1453.0,1726.0,1274.0,18.0,7.0,3,0,0,0,1
899,0,0.5,1,13.0,1.0,57.0,0.9,172.0,2.0,18.0,788.0,1331.0,364.0,11.0,1.0,7,1,1,0,0
1976,1,0.7,1,4.0,0.0,32.0,0.8,171.0,2.0,7.0,1301.0,1922.0,3699.0,17.0,11.0,13,0,1,1,3
879,0,1.5,1,0.0,1.0,21.0,0.8,187.0,4.0,2.0,463.0,1038.0,2927.0,14.0,13.0,11,1,0,1,2
916,1,2.6,0,0.0,0.0,36.0,0.3,195.0,4.0,12.0,188.0,992.0,1470.0,13.0,0.0,14,0,1,0,0
763,0,1.7,1,8.0,1.0,2.0,0.5,92.0,8.0,14.0,1028.0,1186.0,1050.0,6.0,4.0,8,1,1,0,0
508,0,1.6,1,0.0,0.0,9.0,0.4,162.0,6.0,2.0,1419.0,1920.0,2616.0,18.0,8.0,10,1,1,1,2
825,0,2.9,1,0.0,0.0,34.0,0.8,99.0,8.0,17.0,1471.0,1866.0,2915.0,8.0,2.0,10,1,1,0,3
1864,0,1.4,0,8.0,1.0,46.0,0.7,178.0,1.0,12.0,168.0,981.0,2686.0,11.0,7.0,18,1,1,1,2
1725,0,0.5,1,8.0,1.0,52.0,1.0,185.0,6.0,12.0,1125.0,1195.0,1243.0,19.0,18.0,5,1,1,1,1
1108,1,2.9,0,10.0,0.0,52.0,0.1,183.0,2.0,12.0,130.0,1706.0,3264.0,16.0,1.0,13,0,1,1,3
1011,0,1.1,0,4.310275689223058,1.0,32.04812030075188,0.5022556390977444,140.26653306613227,4.0,18.0,481.0,749.0,2261.0,7.0,6.0,16,1,1,1,1
1703,1,1.5,1,17.0,1.0,55.0,0.7,138.0,5.0,19.0,1411.0,1711.0,2993.0,5.0,1.0,20,1,1,1,3
1067,1,1.7,1,0.0,0.0,58.0,0.5,135.0,7.0,0.0,79.0,681.0,706.0,12.0,9.0,16,0,1,0,0
1334,1,2.4,0,5.0,1.0,42.0,0.6,115.0,5.0,14.0,1187.0,1974.0,2542.0,10.0,1.0,8,1,0,0,3
775,1,2.6,0,0.0,0.0,30.0,0.4,189.0,7.0,10.0,561.0,1510.0,2523.0,17.0,16.0,9,1,0,1,2
1899,1,0.6,0,0.0,0.0,26.0,0.1,151.0,2.0,0.0,96.0,814.0,336.0,13.0,11.0,4,1,0,1,0
930,1,1.3,1,1.0,1.0,14.0,0.4,97.0,6.0,10.0,77.0,1025.0,2457.0,11.0,7.0,17,1,1,0,1
1058,0,1.5,0,2.0,0.0,19.0,0.4,166.0,4.0,14.0,493.0,1247.0,418.0,9.0,7.0,16,0,0,1,0
1187,1,2.2,0,0.0,1.0,46.0,0.4,145.0,2.0,9.0,1173.0,1814.0,3917.0,13.0,11.0,8,1,0,1,3
1874,1,2.7,1,10.0,0.0,8.0,0.9,166.0,7.0,13.0,964.0,1233.0,1246.0,8.0,1.0,2,0,0,1,1
1482,0,0.5,0,2.0,0.0,48.0,0.2,142.0,7.0,10.0,634.0,642.0,2971.0,12.0,8.0,12,1,1,1,2
1809,1,1.7,0,3.0,1.0,59.0,0.1,174.0,3.0,4.0,639.0,721.0,2324.0,10.0,6.0,16,1,0,1,2
864,1,3.0,1,0.0,1.0,54.0,0.7,187.0,2.0,1.0,127.0,1670.0,3121.0,18.0,2.0,16,1,1,1,2
625,1,1.9,0,12.0,1.0,33.0,0.2,191.0,1.0,20.0,431.0,550.0,3801.0,10.0,6.0,2,1,0,0,2
1880,1,1.8,0,4.0,1.0,18.0,0.7,138.0,3.0,5.0,71.0,699.0,3333.0,17.0,15.0,7,1,0,0,3
1138,0,1.4,0,12.0,1.0,44.0,0.2,187.0,8.0,17.0,111.0,1138.0,3475.0,19.0,3.0,3,1,0,0,3
560,0,0.5,0,14.0,0.0,23.0,1.0,146.0,8.0,15.0,356.0,1903.0,2360.0,17.0,16.0,18,0,1,1,1
1117,0,0.5,0,1.0,0.0,12.0,0.6,144.0,7.0,8.0,798.0,817.0,2895.0,7.0,6.0,16,1,1,0,2
1712,0,1.4,0,1.0,0.0,63.0,0.5,137.0,7.0,12.0,747.0,1126.0,3652.0,16.0,1.0,19,1,0,0,3
1836,1,1.7,1,3.0,0.0,26.0,0.1,134.0,6.0,16.0,408.0,1139.0,3097.0,5.0,0.0,18,0,1,0,3
1036,1,2.4,0,0.0,0.0,39.0,0.2,119.0,7.0,3.0,373.0,926.0,2101.0,10.0,7.0,2,0,1,0,1
